2994,KTS4,KTS4,,,,,,,VH,839939.726,819335.296,22.3130000,114.2125000,Typhoon shelter,"1993-06-28 00:00:00",N,N,2,10,161,161,161,EWP5,"2004-05-14 00:00:00",1,839939.726,819335.296
2995,KTS5,KTS5,,,,,,,VH,840523.853,818468.031,22.3051670,114.2181670,Typhoon shelter,"1994-09-14 00:00:00",N,N,2,10,348,348,348,EWP5,"2004-05-14 00:00:00",1,840523.853,818468.031
3001,TM1,TS1,,,,,,,TH,840195.006,829523.162,22.4050000,114.2150000,Open marine water,"1982-04-26 00:00:00",N,N,2,1,64,268,64,EWP5,"2004-05-14 00:00:00",1,840195.006,829523.162
3002,TM2,,TM2,TM2,,,,4,Th2,840510.635,830342.985,22.4124000,114.2180830,Open marine water,"1982-01-20 00:00:00",Y,Y,3,1,65,,65,EWP5,"2004-05-14 00:00:00",1,840512.257,830342.697
3003,TM3,TS3,,,,,,7,Th2,838958.677,834242.394,22.4476170,114.2030170,Open marine water,"1982-05-19 00:00:00",Y,Y,3,1,66,313,66,EWP5,"2004-05-14 00:00:00",1,838960.431,834242.253
3004,TM4,TS2,,,TS2,,,8,Th2,840666.151,832594.661,22.4327330,114.2196000,Open marine water,"1982-05-05 00:00:00",Y,Y,3,1,67,312,67,EWP5,"2004-05-14 00:00:00",1,840667.871,832594.371
3005,TM5,,,,,,,4,Tb2,841145.713,835293.081,22.4571000,114.2242670,Open marine water,"1982-04-26 00:00:00",Y,Y,3,1,68,,68,EWP5,"2004-05-14 00:00:00",1,841147.550,835292.861
3006,TM6,TS4,,,TS4,,,12,Tb2,842947.590,833826.498,22.4438500,114.2417670,Open marine water,"1982-03-24 00:00:00",Y,Y,3,1,69,314,69,EWP5,"2004-05-14 00:00:00",1,842949.434,833826.202
3007,TM7,,TM7,TM7,,,,11,Tc2,845608.232,834337.266,22.4484500,114.2676170,Open marine water,"1988-01-06 00:00:00",Y,Y,3,1,70,,70,EWP5,"2004-05-14 00:00:00",1,845610.156,834336.905
3008,TM8,TS5,,,,,,22,Tc2,848944.506,837080.380,22.4732000,114.3000500,Open marine water,"1976-10-12 00:00:00",Y,Y,3,1,71,269,71,EWP5,"2004-05-14 00:00:00",1,848946.547,837079.975
3009,TM9,,,,,,,,TH,854203.809,840329.708,22.5025000,114.3511670,Open marine water,,N,N,2,1,72,,72,EWP5,"2004-05-14 00:00:00",1,854203.809,840329.708
3021,TM21,,,,,,,,TH,834680.000,838580.000,22.4531700,114.1968000,Open marine water,"1991-03-13 00:00:00",N,N,2,1,73,,73,EWP5,"2004-05-14 00:00:00",1,838320.403,834857.102
3022,TM22,,,,,,,,TH,835150.000,838680.000,22.4573300,114.1978000,Open marine water,"1991-03-13 00:00:00",N,N,2,1,74,,74,EWP5,"2004-05-14 00:00:00",1,838423.284,835317.785
3023,TM23,,,,,,,,TH,835125.000,838820.000,22.4573300,114.1992000,Open marine water,"1991-03-13 00:00:00",N,N,2,1,75,,75,EWP5,"2004-05-14 00:00:00",1,838567.387,835317.802
3024,TM24,,,,,,,,TH,834595.000,838695.000,22.4523300,114.1980000,Open marine water,"1991-03-13 00:00:00",N,N,2,1,76,,76,EWP5,"2004-05-14 00:00:00",1,838443.933,834764.096
3025,TM25,,,,,,,,TH,,,,,Open marine water,"1992-09-09 00:00:00",N,N,2,1,215,,215,EWP5,"2004-05-14 00:00:00",1,,
3026,TM26,,,,,,,,TH,,,,,Open marine water,"1992-09-09 00:00:00",N,N,2,1,216,,216,EWP5,"2004-05-14 00:00:00",1,,
3027,TM27,,,,,,,,TH,,,,,Open marine water,"1992-09-09 00:00:00",N,N,2,1,217,,217,EWP5,"2004-05-14 00:00:00",1,,
3028,TM28,,,,,,,,TH,,,,,Open marine water,"1992-09-09 00:00:00",N,N,2,1,218,,218,EWP5,"2004-05-14 00:00:00",1,,
3029,TM29,,,,,,,,TH,,,,,Open marine water,"1992-09-09 00:00:00",N,N,2,1,219,,219,EWP5,"2004-05-14 00:00:00",1,,
3051,TM51,TS51,,,,,,,TH,840451.992,831313.521,22.4211670,114.2175000,Open marine water,"1976-10-12 00:00:00",N,N,2,1,220,270,220,EWP5,"2004-05-14 00:00:00",1,840451.992,831313.521
